indice,imagen_origen,imagen_aumentada,ruta_origen,ruta_aumentada
22,negativos_train_0288.jpg,negativo_aug_00022.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0288.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00022.jpg
23,negativos_train_0156.jpg,negativo_aug_00023.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0156.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00023.jpg
24,negativos_train_0352.jpg,negativo_aug_00024.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0352.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00024.jpg
25,negativos_train_0063.jpg,negativo_aug_00025.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0063.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00025.jpg
26,negativos_train_0570.jpg,negativo_aug_00026.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0570.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00026.jpg
27,negativos_train_0362.jpg,negativo_aug_00027.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0362.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00027.jpg
28,negativos_train_0137.jpg,negativo_aug_00028.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0137.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00028.jpg
29,negativos_train_0472.jpg,negativo_aug_00029.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0472.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00029.jpg
30,negativos_train_0484.jpg,negativo_aug_00030.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0484.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00030.jpg
31,negativos_train_0053.jpg,negativo_aug_00031.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0053.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00031.jpg
32,negativos_train_0132.jpg,negativo_aug_00032.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0132.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00032.jpg
33,negativos_train_0220.jpg,negativo_aug_00033.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0220.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00033.jpg
34,negativos_train_0088.jpg,negativo_aug_00034.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0088.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00034.jpg
35,negativos_train_0070.jpg,negativo_aug_00035.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0070.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00035.jpg
36,negativos_train_0216.jpg,negativo_aug_00036.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0216.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00036.jpg
37,negativos_train_0577.jpg,negativo_aug_00037.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0577.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00037.jpg
38,negativos_train_0304.jpg,negativo_aug_00038.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0304.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00038.jpg
39,negativos_train_0246.jpg,negativo_aug_00039.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0246.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00039.jpg
40,negativos_train_0578.jpg,negativo_aug_00040.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0578.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00040.jpg
41,negativos_train_0263.jpg,negativo_aug_00041.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0263.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00041.jpg
42,negativos_train_0461.jpg,negativo_aug_00042.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0461.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00042.jpg
43,negativos_train_0009.jpg,negativo_aug_00043.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0009.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00043.jpg
44,negativos_train_0231.jpg,negativo_aug_00044.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0231.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00044.jpg
45,negativos_train_0308.jpg,negativo_aug_00045.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0308.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00045.jpg
46,negativos_train_0016.jpg,negativo_aug_00046.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0016.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00046.jpg
47,negativos_train_0359.jpg,negativo_aug_00047.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0359.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00047.jpg
48,negativos_train_0076.jpg,negativo_aug_00048.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0076.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00048.jpg
49,negativos_train_0455.jpg,negativo_aug_00049.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0455.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00049.jpg
50,negativos_train_0574.jpg,negativo_aug_00050.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0574.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00050.jpg
51,negativos_train_0309.jpg,negativo_aug_00051.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0309.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00051.jpg
52,negativos_train_0119.jpg,negativo_aug_00052.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0119.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00052.jpg
53,negativos_train_0015.jpg,negativo_aug_00053.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0015.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00053.jpg
54,negativos_train_0256.jpg,negativo_aug_00054.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0256.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00054.jpg
55,negativos_train_0541.jpg,negativo_aug_00055.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0541.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00055.jpg
56,negativos_train_0188.jpg,negativo_aug_00056.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0188.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00056.jpg
57,negativos_train_0543.jpg,negativo_aug_00057.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0543.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00057.jpg
58,negativos_train_0573.jpg,negativo_aug_00058.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0573.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00058.jpg
59,negativos_train_0608.jpg,negativo_aug_00059.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0608.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00059.jpg
60,negativos_train_0173.jpg,negativo_aug_00060.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0173.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00060.jpg
61,negativos_train_0259.jpg,negativo_aug_00061.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0259.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00061.jpg
62,negativos_train_0589.jpg,negativo_aug_00062.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0589.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00062.jpg
63,negativos_train_0280.jpg,negativo_aug_00063.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0280.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00063.jpg
64,negativos_train_0255.jpg,negativo_aug_00064.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0255.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00064.jpg
65,negativos_train_0563.jpg,negativo_aug_00065.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0563.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00065.jpg
66,negativos_train_0503.jpg,negativo_aug_00066.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0503.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00066.jpg
67,negativos_train_0187.jpg,negativo_aug_00067.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0187.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00067.jpg
68,negativos_train_0534.jpg,negativo_aug_00068.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0534.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00068.jpg
69,negativos_train_0184.jpg,negativo_aug_00069.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0184.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00069.jpg
70,negativos_train_0120.jpg,negativo_aug_00070.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0120.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00070.jpg
71,negativos_train_0383.jpg,negativo_aug_00071.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0383.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00071.jpg
72,negativos_train_0493.jpg,negativo_aug_00072.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0493.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00072.jpg
73,negativos_train_0210.jpg,negativo_aug_00073.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0210.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00073.jpg
74,negativos_train_0557.jpg,negativo_aug_00074.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0557.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00074.jpg
75,negativos_train_0006.jpg,negativo_aug_00075.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0006.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00075.jpg
76,negativos_train_0417.jpg,negativo_aug_00076.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0417.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00076.jpg
77,negativos_train_0019.jpg,negativo_aug_00077.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0019.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00077.jpg
78,negativos_train_0469.jpg,negativo_aug_00078.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0469.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00078.jpg
79,negativos_train_0228.jpg,negativo_aug_00079.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0228.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00079.jpg
80,negativos_train_0384.jpg,negativo_aug_00080.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0384.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00080.jpg
81,negativos_train_0381.jpg,negativo_aug_00081.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0381.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00081.jpg
82,negativos_train_0219.jpg,negativo_aug_00082.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0219.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00082.jpg
83,negativos_train_0043.jpg,negativo_aug_00083.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0043.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00083.jpg
84,negativos_train_0129.jpg,negativo_aug_00084.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0129.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00084.jpg
85,negativos_train_0612.jpg,negativo_aug_00085.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0612.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00085.jpg
86,negativos_train_0521.jpg,negativo_aug_00086.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0521.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00086.jpg
87,negativos_train_0093.jpg,negativo_aug_00087.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0093.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00087.jpg
88,negativos_train_0191.jpg,negativo_aug_00088.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0191.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00088.jpg
89,negativos_train_0385.jpg,negativo_aug_00089.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0385.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00089.jpg
90,negativos_train_0133.jpg,negativo_aug_00090.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0133.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00090.jpg
91,negativos_train_0022.jpg,negativo_aug_00091.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0022.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00091.jpg
92,negativos_train_0580.jpg,negativo_aug_00092.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0580.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00092.jpg
93,negativos_train_0583.jpg,negativo_aug_00093.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0583.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00093.jpg
94,negativos_train_0332.jpg,negativo_aug_00094.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0332.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00094.jpg
95,negativos_train_0117.jpg,negativo_aug_00095.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0117.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00095.jpg
96,negativos_train_0097.jpg,negativo_aug_00096.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0097.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00096.jpg
97,negativos_train_0355.jpg,negativo_aug_00097.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0355.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00097.jpg
98,negativos_train_0407.jpg,negativo_aug_00098.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0407.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00098.jpg
99,negativos_train_0477.jpg,negativo_aug_00099.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0477.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00099.jpg
100,negativos_train_0084.jpg,negativo_aug_00100.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0084.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00100.jpg
101,negativos_train_0078.jpg,negativo_aug_00101.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0078.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00101.jpg
102,negativos_train_0075.jpg,negativo_aug_00102.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0075.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00102.jpg
103,negativos_train_0101.jpg,negativo_aug_00103.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0101.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00103.jpg
104,negativos_train_0607.jpg,negativo_aug_00104.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0607.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00104.jpg
105,negativos_train_0435.jpg,negativo_aug_00105.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0435.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00105.jpg
106,negativos_train_0408.jpg,negativo_aug_00106.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0408.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00106.jpg
107,negativos_train_0141.jpg,negativo_aug_00107.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0141.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00107.jpg
108,negativos_train_0616.jpg,negativo_aug_00108.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/train/negativos_train_0616.jpg,/home/irar/Escritorio/ProyectoTaxiDetector/dataset/negativos/augmented/negativo_aug_00108.jpg
